timestamp,cpu_system_percent,cpu_process_percent
1770781879.1217625,100.0,219.5
1770781879.1757815,58.3,92.4
1770781879.2309906,55.6,126.8
1770781879.2905853,69.2,83.8
1770781879.3447928,63.6,110.8
1770781879.3974228,60.0,94.9
1770781879.4499114,90.0,95.4
1770781879.50073,70.0,98.2
1770781879.55299,54.5,114.8
1770781879.608062,50.0,90.8
1770781879.6610513,58.3,94.4
1770781879.7168653,63.6,102.8
1770781879.7731495,100.0,74.5
1770781879.8384583,100.0,91.9
1770781879.892049,100.0,93.3
1770781879.9452364,90.0,94.0
1770781879.9963431,72.7,97.7
1770781880.0491068,54.5,113.6
1770781880.1031659,54.5,92.6
1770781880.1569703,54.5,108.7
1770781880.2117116,50.0,93.8
1770781880.2652972,81.8,93.3
1770781880.317571,50.0,111.9
1770781880.3709886,50.0,96.1
1770781880.423812,54.5,94.5
1770781880.4769995,63.6,112.9
1770781880.5294676,50.0,95.3
1770781880.5820456,54.5,95.0
1770781880.635495,50.0,112.4
1770781880.6889796,60.0,93.3
1770781880.7424917,58.3,93.6
1770781880.7952957,50.0,94.7
1770781880.8480487,63.6,113.8
