step,time,ground_x,ground_y,ground_th,est_x,est_y,est_th
0,0.0027446746826171875,1.01,0.056,0.0,2.337580906420391,2.49985439856076,-2.3149779145126463
1,0.004781007766723633,1.01,0.0565,0.0,2.311772915194063,2.395294350484031,-2.3471170795389185
2,0.006855010986328125,1.01,0.057001,0.0,2.258933660546688,2.323453540781018,-2.3525321058643156
3,0.009304046630859375,1.01,0.057501,0.0,2.2019680314617416,2.3159466149848753,-2.3465668361398517
4,0.010895729064941406,1.01,0.058002,0.0,2.1686832367987017,2.3167770009241946,-2.348823940448486
5,0.01251077651977539,1.01,0.058502,0.0,2.1582382804260214,2.318469731632591,-2.343737408078013
6,0.014793634414672852,1.01,0.059003,0.0,2.1600020248262695,2.317978214390442,-2.3445830637408016
7,0.016361236572265625,1.01,0.059503,0.0,2.15431765281052,2.309124429158065,-2.3581309298713284
8,0.017907142639160156,1.01,0.060004,0.0,2.1509155989938415,2.313124152881196,-2.345449196239799
9,0.019420623779296875,1.01,0.060504,0.0,2.157696215899703,2.306799970178107,-2.353753243480059
10,0.020952463150024414,1.01,0.061005,0.0,2.177228773577168,2.2978002523415166,-2.344192353395835
11,0.022484540939331055,1.01,0.061505,0.0,2.1948379793431507,2.2972304377466113,-2.359067677485337
12,0.02401137351989746,1.01,0.062005,0.0,2.2089130611554797,2.296221929899032,-2.3553903879508344
13,0.025523662567138672,1.01,0.062506,0.0,2.202911502057993,2.2969946768763614,-2.349890786284372
14,0.027038097381591797,1.01,0.063006,0.0,2.2179916778947697,2.290240559363563,-2.345252513551896
15,0.028542518615722656,1.01,0.063507,0.0,2.2389476126839205,2.2818811388510745,-2.356488602725985
16,0.030057907104492188,1.01,0.064007,0.0,2.260870073411156,2.2697999832435216,-2.352290009099939
17,0.03155660629272461,1.01,0.064508,0.0,2.271561488761683,2.2633179874118454,-2.3589779465200067
18,0.03308916091918945,1.01,0.065008,0.0,2.291413948601559,2.257720002038944,-2.3607971493100948
19,0.03459787368774414,1.01,0.065509,0.0,2.284268495052513,2.259931245166584,-2.3584585399656643
20,0.03612661361694336,1.01,0.066009,0.0,2.284294239032576,2.2668011216876396,-2.3520868312515573
21,0.037657737731933594,1.01,0.06651,0.0,2.2894494357488,2.263171023932057,-2.3519612553642135
22,0.03916001319885254,1.01,0.06701,0.0,2.2886476313180366,2.263098260719273,-2.3589642797067274
23,0.040674448013305664,1.01,0.06751,0.0,2.3035226106258793,2.2513976555582986,-2.352586069493597
24,0.04218339920043945,1.01,0.068011,0.0,2.313921376035069,2.2464676601301843,-2.35160487383164
25,0.04370546340942383,1.01,0.068511,0.0,2.334022213995845,2.239674788093532,-2.3531366018222
26,0.045195817947387695,1.01,0.069012,0.0,2.3505532659269748,2.230260978321239,-2.35589834484358
27,0.04670000076293945,1.01,0.069512,0.0,2.3513395084971376,2.2275536967195224,-2.3607588334185325
28,0.04819655418395996,1.01,0.070013,0.0,2.367397521406245,2.2158719737614305,-2.3510097136542383
29,0.04970121383666992,1.01,0.070513,0.0,2.367175966448331,2.220767989548355,-2.3568470543477202
30,0.05119657516479492,1.01,0.071014,0.0,2.3674775850240173,2.2207162543122854,-2.370544564737067
31,0.052698612213134766,1.01,0.071514,0.0,2.3617811924265886,2.220693102784896,-2.358032239395372
32,0.05465841293334961,1.01,0.072015,0.0,2.3669411405068352,2.227310041620171,-2.3558596456123944
33,0.05675983428955078,1.01,0.072515,0.0,2.3742533124008185,2.2210623080854552,-2.353906253421515
34,0.05895209312438965,1.01,0.073015,0.0,2.3747882717065862,2.2115802714795754,-2.3571522526540205
35,0.06084585189819336,1.01,0.073516,0.0,2.3750997351669993,2.218382841222661,-2.3589279758410218
36,0.06259632110595703,1.01,0.074016,0.0,2.3803209014863476,2.2141087089978773,-2.361417368987418
37,0.06456828117370605,1.01,0.074517,0.0,2.3849276921404448,2.21288218281148,-2.355807803437568
38,0.06656336784362793,1.01,0.075017,0.0,2.3945744625314953,2.2120616905643566,-2.349211581934321
39,0.06884145736694336,1.01,0.075518,0.0,2.396177717479818,2.2065667809074316,-2.362879186981182
40,0.07036471366882324,1.01,0.076018,0.0,2.396662481587149,2.198457896449544,-2.357006923126437
41,0.07187747955322266,1.01,0.076519,0.0,2.3973856274538714,2.1882170097483287,-2.347387933264374
42,0.07338619232177734,1.01,0.077019,0.0,2.390232528071583,2.1994678483798995,-2.3543502250749686
43,0.0749044418334961,1.01,0.07752,0.0,2.3824819033978746,2.1947936069288834,-2.362741619119133
44,0.07639932632446289,1.01,0.07802,0.0,2.3725887198326365,2.1913859835543748,-2.351120550689522
45,0.07790279388427734,1.01,0.07852,0.0,2.3827630785781184,2.1890236533634435,-2.351467784732861
46,0.07939791679382324,1.01,0.079021,0.0,2.3879720394125705,2.1923341830724756,-2.347964144326894
47,0.0809030532836914,1.01,0.079521,0.0,2.396624873759995,2.1872033300249805,-2.3579897325623635
48,0.0823974609375,1.01,0.080022,0.0,2.400388249273266,2.1797976988670937,-2.3589943865277623
49,0.08389425277709961,1.01,0.080522,0.0,2.391443883776818,2.180443929359611,-2.3480633208554096
50,0.08537435531616211,1.01,0.081023,0.0,2.3902803548634632,2.1835320809125363,-2.365289222485127
51,0.08693718910217285,1.01,0.081523,0.0,2.3802372397834604,2.192710315633279,-2.3561090863397802
52,0.08844566345214844,1.01,0.082024,0.0,2.3775179701888227,2.188259792688785,-2.359956974248617
53,0.08994412422180176,1.01,0.082524,0.0,2.377488674211917,2.183856420836635,-2.3665837664330547
54,0.09142947196960449,1.01,0.083025,0.0,2.3776697657631236,2.1886310461545113,-2.372258654126097
55,0.09292411804199219,1.0101,0.083525,0.0,2.3882538692179134,2.1823915386411015,-2.3566027683771815
56,0.09441304206848145,1.0101,0.084026,0.0,2.3793772577620556,2.1748284879102426,-2.360318614666358
57,0.09590816497802734,1.0101,0.084526,0.0,2.380188035825243,2.1755605327303345,-2.3496748708831094
58,0.09739422798156738,1.0101,0.085026,0.0,2.392495062930491,2.177381906349097,-2.3523836280071455
59,0.09891009330749512,1.0101,0.085527,0.0,2.393397578017686,2.178426596192297,-2.359135510096843
60,0.10040044784545898,1.0101,0.086027,0.0,2.394359569927375,2.186207805684383,-2.350603655077062
61,0.10189318656921387,1.0101,0.086528,0.0,2.408882892942837,2.1843837547410896,-2.3569587607106026
62,0.1033792495727539,1.0101,0.087028,0.0,2.406932083993024,2.1877512228156957,-2.3619920091776385
63,0.10489773750305176,1.0101,0.087529,0.0,2.409551390425307,2.188585449015135,-2.3625386187210897
64,0.10640358924865723,1.0101,0.088029,0.0,2.413495000053262,2.1804100092214216,-2.3451279577447126
65,0.1079256534576416,1.0101,0.08853,0.0,2.408638044408654,2.1828120200472427,-2.3572843739402916
66,0.10942292213439941,1.0101,0.08903,0.0,2.4035025618519166,2.180108765969984,-2.365407478226309
